% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
279 +5.204456182e+02 +5.204456182e+02 +5.981056182e+02 +5.981056182e+02 -1.8740e+00 +4.5722e+00 +9.2533e-01 -2.3508e+00 -2.0586e+00 +4.1957e+00 -2.7339e+00 +3.2134e+00 +1.2061e+00 -3.7849e+00
349 +5.114269869e+02 +5.114269869e+02 +5.890869869e+02 +5.890869869e+02 -1.9126e+00 +4.5884e+00 +8.8954e-01 -2.3485e+00 -2.0605e+00 +3.8894e+00 -2.7077e+00 +3.2465e+00 +1.2541e+00 -3.7933e+00
463 +4.743274185e+02 +4.743274185e+02 +5.519874185e+02 +5.519874185e+02 -1.7985e+00 +4.6966e+00 +8.6435e-01 -2.3444e+00 -2.1118e+00 +3.9112e+00 -2.6488e+00 +2.6625e+00 +1.3458e+00 -3.8208e+00
510 +4.111597525e+02 +4.111597525e+02 +4.888197525e+02 +4.888197525e+02 -1.6707e+00 +4.6271e+00 +8.0918e-01 -2.3392e+00 -2.1583e+00 +3.8846e+00 -2.7259e+00 +2.1885e+00 +1.0427e+00 -3.8621e+00
574 +4.063462716e+02 +4.063462716e+02 +4.840062716e+02 +4.840062716e+02 -1.6015e+00 +4.6538e+00 +9.2109e-01 -2.3374e+00 -2.0875e+00 +3.1722e+00 -2.7236e+00 +2.6367e+00 +5.8255e-01 -4.0430e+00
583 +3.932070767e+02 +3.932070767e+02 +4.708670767e+02 +4.708670767e+02 -1.7693e+00 +4.5181e+00 +9.2278e-01 -2.3418e+00 -2.0733e+00 +3.4068e+00 -2.7189e+00 +1.9183e+00 +1.3444e-01 -4.0501e+00
590 +3.736622567e+02 +3.736622567e+02 +4.513222567e+02 +4.513222567e+02 -1.6541e+00 +4.4944e+00 +1.5831e+00 -2.3304e+00 -1.9605e+00 +3.3697e+00 -2.7422e+00 +2.0214e+00 +8.7078e-01 -3.6707e+00
602 +3.708755502e+02 +3.708755502e+02 +4.485355502e+02 +4.485355502e+02 -1.6538e+00 +4.6529e+00 +1.0544e+00 -2.1805e+00 -1.8819e+00 +3.3494e+00 -2.7255e+00 +1.8642e+00 +1.0489e+00 -3.9011e+00
616 +3.387021388e+02 +3.387021388e+02 +4.163621388e+02 +4.163621388e+02 -1.6613e+00 +4.6628e+00 +9.6357e-01 -2.3602e+00 -2.1921e+00 +2.4724e+00 -2.8307e+00 +1.0193e+00 +1.1251e+00 -3.9886e+00
657 +3.306637886e+02 +3.306637886e+02 +4.083237886e+02 +4.083237886e+02 -1.7805e+00 +4.6720e+00 +9.1377e-01 -2.2839e+00 -2.0288e+00 +2.7065e+00 -2.7353e+00 +1.7052e+00 +8.4759e-01 -4.5989e+00
663 +2.960672756e+02 +2.960672756e+02 +3.737272756e+02 +3.737272756e+02 -1.6119e+00 +4.6332e+00 +9.2612e-01 -2.3376e+00 -1.9939e+00 +2.4068e+00 -2.6308e+00 +1.0776e+00 +8.6828e-01 -3.9212e+00
684 +2.826063098e+02 +2.826063098e+02 +3.602663098e+02 +3.602663098e+02 -1.7170e+00 +4.6267e+00 +9.3941e-01 -2.3429e+00 -2.0336e+00 +2.8289e+00 +1.0699e+00 +7.0268e-01 +1.1538e+00 -3.8348e+00
738 +2.686038896e+02 +2.686038896e+02 +3.462638896e+02 +3.462638896e+02 -1.5397e+00 +4.5794e+00 +8.2623e-01 -2.4302e+00 -1.9646e+00 +1.7406e+00 -1.6591e+00 +5.8132e-01 +6.8035e-01 -3.7170e+00
755 +2.495327716e+02 +2.495327716e+02 +3.271927716e+02 +3.271927716e+02 -1.5630e+00 +4.6027e+00 +1.6332e+00 -2.3153e+00 -1.9308e+00 +1.3547e+00 -1.8558e+00 +3.1569e-01 +1.4177e+00 -3.8099e+00
778 +2.413790169e+02 +2.413790169e+02 +3.190390169e+02 +3.190390169e+02 -1.7426e+00 +4.6537e+00 +7.6959e-01 -2.2858e+00 -2.1498e+00 +1.2049e+00 -1.7363e+00 +5.0636e-01 +8.4011e-01 -3.5507e+00
819 +2.228507971e+02 +2.228507971e+02 +3.005107971e+02 +3.005107971e+02 -1.3066e+00 +4.7327e+00 +1.0268e+00 -2.3734e+00 -1.7656e+00 +9.2361e-01 -1.2342e+00 +9.3729e-01 +9.2894e-01 -3.4594e+00
866 +2.182066507e+02 +2.182066507e+02 +2.958666507e+02 +2.958666507e+02 -6.7065e-01 +4.9019e+00 -1.8904e-01 -2.3300e+00 -1.8715e+00 +1.6822e+00 -3.4400e-01 -7.9513e-02 +8.6987e-01 -4.5694e+00
894 +2.104597811e+02 +2.104597811e+02 +2.881197811e+02 +2.881197811e+02 -1.4319e+00 +4.3646e+00 +8.8021e-01 -2.3500e+00 -1.9153e+00 +1.3487e+00 -1.1748e+00 +9.9509e-01 +8.5529e-01 -3.4257e+00
918 +2.076717336e+02 +2.076717336e+02 +2.853317336e+02 +2.853317336e+02 -1.5054e+00 +4.5266e+00 +1.2940e+00 -2.3187e+00 -2.0455e+00 +4.2344e-01 +6.3170e-01 +5.6286e-01 +6.3915e-01 -4.1785e+00
953 +1.900855019e+02 +1.900855019e+02 +2.677455019e+02 +2.677455019e+02 -8.1942e-01 +4.1685e+00 +1.7859e-01 -2.2247e+00 -1.7311e+00 +5.1028e-01 +8.8911e-01 +1.7777e-01 +8.1165e-01 -3.6479e+00
976 +1.804249752e+02 +1.804249752e+02 +2.580849752e+02 +2.580849752e+02 -1.9102e+00 +4.3964e+00 -5.0906e-01 -2.2314e+00 -1.9240e+00 -1.1139e+00 +5.8352e-01 +1.9462e-01 +1.0189e+00 -4.4995e+00
1133 +1.664302801e+02 +1.664302801e+02 +2.440902801e+02 +2.440902801e+02 -6.5577e-01 +3.2225e+00 -4.6150e-01 -2.1304e+00 -2.3981e+00 -1.0917e+00 +1.6139e+00 -7.6850e-02 +1.8648e-01 -3.6560e+00
1142 +1.642657060e+02 +1.642657060e+02 +2.419257060e+02 +2.419257060e+02 -4.6112e-01 +3.9524e+00 -5.4172e-01 -2.2413e+00 -2.3069e+00 -6.8426e-02 +5.4891e-01 -2.1992e-01 +2.4795e-01 -3.7622e+00
1217 +1.503897550e+02 +1.503897550e+02 +2.280497550e+02 +2.280497550e+02 -6.7788e-01 +3.9045e+00 -3.6055e-01 -2.2774e+00 -1.2359e+00 -1.1608e+00 +5.1779e-01 +5.4696e-02 -1.5243e-01 -3.8828e+00
1405 +1.235397315e+02 +1.235397315e+02 +2.011997315e+02 +2.011997315e+02 -7.4369e-02 +9.3938e-01 +4.1245e-01 -8.0737e-01 -1.5738e+00 -1.6731e-02 +4.9243e-01 +1.3700e-01 +3.4089e-01 -3.7795e+00
1468 +1.209667735e+02 +1.209667735e+02 +1.986267735e+02 +1.986267735e+02 +5.4427e-01 +1.1595e+00 +4.2696e-01 -1.4223e+00 -2.5442e+00 +5.8530e-02 +4.6333e-01 +1.1979e+00 +5.1346e-01 -3.4504e+00
