% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.235000000e+02 +1.235000000e+02 +2.473300000e+02 +2.473300000e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
14614 +1.195926450e+02 +1.195926450e+02 +2.434226450e+02 +2.434226450e+02 +2.2645e-01 +2.4482e-01 +3.0224e-01 -4.4869e-01 -3.1759e-01 -1.3408e-02 +7.8074e-01 +1.6995e-01 -3.9829e-01 -8.1237e-01 +9.4666e-02 +9.3719e-02 -3.2463e-01 +8.4615e-02 +4.2801e-01 +3.6024e-01 -5.1886e-01 -9.2082e-02 +2.4616e-03 -1.8166e-01
14813 +9.973197692e+01 +9.973197692e+01 +2.235619769e+02 +2.235619769e+02 -3.8177e-01 +2.6206e-01 +4.6581e-01 +1.9864e-01 -4.8736e-01 +1.1876e-01 +5.0230e-01 +1.9129e-02 -4.1635e-01 -1.0004e+00 +3.6087e-01 -4.3794e-01 -5.3253e-01 +2.3721e-01 +5.6368e-01 +1.4912e-01 -9.8343e-01 +4.5368e-01 -5.2523e-01 -2.4144e-01
14904 +8.949984466e+01 +8.949984466e+01 +2.133298447e+02 +2.133298447e+02 -6.1387e-02 +2.2199e-01 +4.9969e-01 +8.1175e-02 -1.6586e-01 +1.5735e-01 +4.6729e-01 +5.8609e-02 -1.6349e-01 -7.0140e-01 +1.5056e-01 -4.2330e-02 -4.8278e-01 +7.0322e-02 +6.0669e-01 +1.5415e-01 -7.8728e-01 +1.8414e-01 -6.1519e-01 -2.8191e-01
15186 +7.773499215e+01 +7.773499215e+01 +2.015649921e+02 +2.015649921e+02 +6.7354e-02 +2.3998e-01 +6.2822e-01 +1.1191e-01 -4.3807e-01 +3.3333e-02 +2.9605e-01 -2.2299e-01 -9.6318e-02 -8.2480e-01 -1.7195e-02 -1.2758e-01 -3.7742e-01 +6.9971e-02 +6.6320e-01 +3.0784e-01 -6.8735e-01 +1.0692e-01 -1.8017e-01 -3.3460e-01
15208 +6.042529389e+01 +6.042529389e+01 +1.842552939e+02 +1.842552939e+02 -1.3131e-01 +1.8163e-01 +7.0231e-01 +1.3046e-01 -3.8231e-01 +3.1573e-03 +6.0172e-01 +5.6175e-02 -4.6578e-02 -8.5268e-01 +1.3962e-01 -8.6762e-02 -4.4959e-01 -3.8538e-02 +5.9604e-01 +3.8890e-01 -9.3813e-01 +1.0355e-01 -5.1922e-01 -3.3923e-01
16215 +5.738499433e+01 +5.738499433e+01 +1.812149943e+02 +1.812149943e+02 -8.0336e-02 +1.8883e-01 +6.7398e-01 -1.0678e-01 -5.6966e-01 -2.6958e-02 +3.7934e-01 +7.2786e-03 -5.2969e-02 -6.6114e-01 +1.8253e-01 +5.6514e-02 -3.9875e-01 -1.4233e-01 +5.5084e-01 +3.4824e-01 -9.0061e-01 +9.3815e-02 -1.8764e-01 +5.7916e-02
16457 +5.482762765e+01 +5.482762765e+01 +1.786576277e+02 +1.786576277e+02 -4.9676e-02 +2.7322e-01 +7.6239e-01 -4.3985e-02 -7.5421e-01 -5.6256e-02 +5.4772e-01 +1.2477e-02 +2.2598e-01 -9.1406e-01 +2.8146e-01 +1.1721e-01 -3.7289e-01 +2.9859e-01 +7.1902e-01 +4.4517e-01 -9.7350e-01 +2.2047e-01 -4.1447e-01 -1.6487e-01
16609 +4.662617965e+01 +4.662617965e+01 +1.704561796e+02 +1.704561796e+02 -1.3679e-01 +3.8909e-01 +5.1112e-01 +1.0584e-02 -7.9245e-01 +1.1000e-01 +7.8037e-01 -1.5061e-02 -2.5501e-02 -1.0535e+00 +3.9440e-01 -9.2721e-02 -5.6357e-01 -1.2300e-02 +5.7726e-01 +3.9649e-01 -1.0238e+00 +1.9900e-01 -3.6081e-01 +2.3953e-02
17070 +4.383849973e+01 +4.383849973e+01 +1.676684997e+02 +1.676684997e+02 -1.9561e-01 +4.1957e-01 +7.1276e-01 +5.3590e-02 -6.6146e-01 +8.2963e-02 +5.7157e-01 +2.5345e-02 +2.4294e-02 -8.9661e-01 +3.5304e-01 +2.7835e-01 -2.3933e-01 -1.6791e-01 +6.8901e-01 +3.4824e-01 -9.1824e-01 +2.0819e-02 -3.0665e-01 +2.0173e-01
17187 +3.876986291e+01 +3.876986291e+01 +1.625998629e+02 +1.625998629e+02 -2.1215e-01 +5.3957e-01 +7.1260e-01 -1.1444e-01 -6.3948e-01 +2.5255e-01 +6.1697e-01 +1.1443e-01 +6.9986e-02 -8.3553e-01 +3.1021e-01 +1.0556e-01 -1.8786e-01 -4.5881e-02 +8.3844e-01 +4.2574e-01 -9.4336e-01 -1.0897e-02 -3.1768e-01 -6.5538e-02
17836 +3.697350683e+01 +3.697350683e+01 +1.608035068e+02 +1.608035068e+02 -2.0829e-01 +2.6154e-01 +6.2095e-01 -9.4828e-03 -7.4134e-01 +1.0724e-01 +6.7520e-01 +1.9284e-01 +3.2258e-03 -8.6656e-01 +2.8115e-01 +3.0279e-01 -2.8288e-01 -9.7632e-02 +6.3798e-01 +3.7257e-01 -8.7033e-01 +4.1409e-02 -1.9801e-01 -8.8308e-02
17916 +3.417035309e+01 +3.417035309e+01 +1.580003531e+02 +1.580003531e+02 -2.4705e-01 +4.2042e-01 +6.7615e-01 +8.6927e-02 -6.1614e-01 +6.6413e-02 +6.1326e-01 -1.5177e-02 +1.9912e-02 -9.9398e-01 +2.4978e-01 +1.8627e-01 -3.0895e-01 +2.3836e-02 +6.0087e-01 +2.7380e-01 -9.9180e-01 +8.2144e-03 -1.4476e-01 +3.6954e-02
18321 +2.739410455e+01 +2.739410455e+01 +1.512241046e+02 +1.512241046e+02 -1.3065e-01 +4.3053e-01 +6.1706e-01 +4.1867e-02 -7.9676e-01 +1.3713e-01 +6.2502e-01 +1.6220e-01 -3.8146e-02 -1.0247e+00 +2.0125e-01 +1.9094e-01 -3.8753e-01 -7.6979e-04 +5.9401e-01 +4.2097e-01 -9.6437e-01 +6.8550e-02 -1.0195e-01 -6.4974e-02
19004 +2.469438360e+01 +2.469438360e+01 +1.485243836e+02 +1.485243836e+02 -2.0479e-01 +4.1128e-01 +6.3696e-01 -6.7643e-02 -6.1387e-01 +4.9117e-02 +5.4380e-01 +1.2492e-01 +6.5925e-03 -1.0308e+00 +1.7281e-01 +8.9526e-02 -3.3801e-01 +2.6881e-02 +5.5984e-01 +4.9387e-01 -9.3193e-01 +3.5229e-02 -9.4277e-02 +1.0378e-01
