% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
646 +1.089520916e+05 +1.089520916e+05 +1.089295416e+05 +1.089295416e+05 +2.1260e+00 -3.6477e+00 -1.1420e+00 -2.0137e+00 +1.2961e+00 -1.8527e+00 +3.0488e-01 -1.3854e+00 +3.9295e+00 +4.4394e+00 +3.9150e+00 +3.8436e-01 -3.1497e+00 -2.4454e+00 -4.3837e+00 +4.8421e+00 -1.0972e+00 -7.7152e-01 -2.0515e-01 -7.3177e-01
702 +3.223038560e+04 +3.223038560e+04 +3.220783560e+04 +3.220783560e+04 +2.1134e+00 -3.7223e+00 -1.1178e+00 -3.3090e+00 +1.3790e+00 -8.1982e-01 +4.0716e-01 -1.3846e+00 +3.6665e+00 +4.8768e+00 +3.9299e+00 +4.9689e-01 -3.2143e+00 -2.4888e+00 -4.3576e+00 +4.8436e+00 -1.3068e+00 -8.1683e-01 -2.1149e-01 -7.1149e-01
773 +9.632180352e+03 +9.632180352e+03 +9.609630352e+03 +9.609630352e+03 +2.0038e+00 -3.6886e+00 -1.1508e+00 -2.6565e+00 +1.2683e+00 -2.5371e+00 +3.6061e-01 -1.5515e+00 +3.6505e+00 +4.7558e+00 +4.0230e+00 +2.1736e-01 -2.8457e+00 -2.4297e+00 -4.3321e+00 +4.8360e+00 -8.9698e-01 -8.0606e-01 -2.3874e-01 -7.3123e-01
788 +3.575217518e+03 +3.575217518e+03 +3.552667518e+03 +3.552667518e+03 +2.1292e+00 -3.7940e+00 -1.1337e+00 -3.6671e+00 +1.3518e+00 -8.1783e-01 +2.6927e-01 -1.3688e+00 +3.5397e+00 +4.8820e+00 +3.9389e+00 +4.3065e-01 -3.2085e+00 -2.4028e+00 -4.3434e+00 +4.8317e+00 -1.1346e+00 -8.0333e-01 -2.5672e-01 -6.8997e-01
810 +2.285621340e+03 +2.285621340e+03 +2.263071340e+03 +2.263071340e+03 +2.1715e+00 -3.6766e+00 -1.1495e+00 -2.8178e+00 +1.0024e+00 -1.6552e+00 +4.2401e-01 -1.4468e+00 +3.7155e+00 +4.7593e+00 +3.9564e+00 +2.9504e-01 -3.2060e+00 -2.4613e+00 -4.3447e+00 +4.8523e+00 -8.4277e-01 -7.7851e-01 -3.5695e-01 -7.6888e-01
824 +5.367631701e+02 +5.367631701e+02 +5.142131701e+02 +5.142131701e+02 +2.0457e+00 -3.7061e+00 -1.1504e+00 -3.5882e+00 +1.2918e+00 -1.0416e+00 +2.6283e-01 -1.3830e+00 +3.6242e+00 +4.9865e+00 +4.0989e+00 +7.3691e-02 -3.1519e+00 -2.4195e+00 -4.2912e+00 +4.8532e+00 -9.5963e-01 -7.6654e-01 -2.8757e-01 -7.9614e-01
840 +1.889378935e+02 +1.889378935e+02 +1.663878935e+02 +1.663878935e+02 +2.0778e+00 -3.7815e+00 -1.1509e+00 -3.0854e+00 +1.3383e+00 -1.5985e+00 +2.2510e-01 -1.2877e+00 +3.6445e+00 +4.7713e+00 +3.9779e+00 +4.2442e-01 -3.1861e+00 -2.4311e+00 -4.3099e+00 +4.8467e+00 -1.0853e+00 -7.8821e-01 -1.9893e-01 -6.7245e-01
1118 +1.825421869e+02 +1.825421869e+02 +1.599921869e+02 +1.599921869e+02 +2.0908e+00 -3.6958e+00 -1.1232e+00 -3.6282e+00 +1.3579e+00 -1.1222e+00 +2.6469e-01 -1.3793e+00 +3.7458e+00 +4.4335e+00 +3.9246e+00 +1.9912e-01 -3.1448e+00 -2.4409e+00 -4.4033e+00 +4.8668e+00 -8.9564e-01 -8.2358e-01 -1.8911e-01 -6.9706e-01
1187 +1.816148605e+02 +1.816148605e+02 +1.590648605e+02 +1.590648605e+02 +2.0984e+00 -3.7177e+00 -1.1317e+00 -3.2484e+00 +1.6476e+00 -1.7692e+00 +1.3023e-01 -1.5314e+00 +3.6537e+00 +4.3488e+00 +3.9003e+00 +2.2953e-01 -3.3606e+00 -2.4927e+00 -4.2900e+00 +4.8611e+00 -8.9158e-01 -9.0970e-01 -3.5209e-01 -6.1699e-01
42377       +inf +1.805421208e+02       +inf +1.579921208e+02 -6.7843e+28 +1.6744e+29 -1.6514e+29 -1.0157e+28 -7.6267e+28 +1.5529e+29 +7.0464e+28 -3.6147e+27 -1.0470e+31 +4.7497e+29 -3.6639e+28 -1.4250e+30 -1.0538e+30 +3.3447e+28 -1.7309e+27 +3.4654e+28 +1.0897e+29 -2.6197e+30 -4.1849e+27 -1.5431e+29
% function evaluation | noise-free fitness - Fopt (1.366000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.811586777e+05 +2.811586777e+05 +2.811723377e+05 +2.811723377e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
