% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.626101642e+000 +6.626101642e+000 +1.557761016e+002 +1.557761016e+002 +0.0000e+000 +0.0000e+000
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+003) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.246386374e+004 +2.246386374e+004 +2.146386374e+004 +2.146386374e+004 +0.0000e+000 +0.0000e+000
87 +3.298854862e+003 +3.298854862e+003 +2.298854862e+003 +2.298854862e+003 -1.3480e+000 +1.2169e+001
92 +1.660535846e+003 +1.660535846e+003 +6.605358463e+002 +6.605358463e+002 +8.0895e-001 +1.7807e+001
108 +1.157736992e+003 +1.157736992e+003 +1.577369925e+002 +1.577369925e+002 +6.9631e-001 +2.4213e+001
128 +2.820451985e+002 +2.820451985e+002 -7.179548015e+002 -7.179548015e+002 -6.9133e-001 +8.4769e+000
153 +6.362192402e+000 +6.362192402e+000 -9.936378076e+002 -9.936378076e+002 -6.0662e-001 +1.0569e+001
179 +4.251188922e+000 +4.251188922e+000 -9.957488111e+002 -9.957488111e+002 -8.1315e-001 +9.4212e+000
204 +4.130199313e+000 +4.130199313e+000 -9.958698007e+002 -9.958698007e+002 -8.2336e-001 +9.3088e+000
223 +3.996727622e+000 +3.996727622e+000 -9.960032724e+002 -9.960032724e+002 -8.6185e-001 +9.1175e+000
1309 +3.978759001e+000 +3.978759001e+000 -9.960212410e+002 -9.960212410e+002 -8.5368e-001 +9.1463e+000
2033 +3.889998606e+000 +3.889998606e+000 -9.961100014e+002 -9.961100014e+002 -8.7620e-001 +9.0129e+000
3005 +3.801231003e+000 +3.801231003e+000 -9.961987690e+002 -9.961987690e+002 -8.9899e-001 +8.8702e+000
3949 +3.715184699e+000 +3.715184699e+000 -9.962848153e+002 -9.962848153e+002 -9.2072e-001 +8.7468e+000
4363 +3.622837837e+000 +3.622837837e+000 -9.963771622e+002 -9.963771622e+002 -9.4649e-001 +8.6045e+000
5245 +3.547149799e+000 +3.547149799e+000 -9.964528502e+002 -9.964528502e+002 -9.6481e-001 +8.4904e+000
5859 +3.464421354e+000 +3.464421354e+000 -9.965355786e+002 -9.965355786e+002 -9.8753e-001 +8.3649e+000
7452 +3.388312533e+000 +3.388312533e+000 -9.966116875e+002 -9.966116875e+002 -1.0077e+000 +8.2480e+000
8863 +3.308619294e+000 +3.308619294e+000 -9.966913807e+002 -9.966913807e+002 -1.0293e+000 +8.1216e+000
% function evaluation | noise-free fitness - Fopt (9.862000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.240686796e+002 +1.240686796e+002 +2.226886796e+002 +2.226886796e+002 +0.0000e+000 +0.0000e+000
84 +1.318449912e+000 +1.318449912e+000 +9.993844991e+001 +9.993844991e+001 -8.0038e-001 -1.0233e+000
145 +1.244666661e+000 +1.244666661e+000 +9.986466666e+001 +9.986466666e+001 +1.4986e-001 +1.6168e+000
152 +1.111366587e+000 +1.111366587e+000 +9.973136659e+001 +9.973136659e+001 +1.2323e-001 +1.5211e+000
158 +1.038611204e+000 +1.038611204e+000 +9.965861120e+001 +9.965861120e+001 +2.0069e-001 +1.8922e+000
163 +9.248780545e-001 +9.248780545e-001 +9.954487805e+001 +9.954487805e+001 +1.5638e-001 +1.6985e+000
989 +9.119605053e-001 +9.119605053e-001 +9.953196051e+001 +9.953196051e+001 +1.4967e-001 +1.6751e+000
1557 +8.901293160e-001 +8.901293160e-001 +9.951012932e+001 +9.951012932e+001 +1.3794e-001 +1.6305e+000
