% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.743465359e+05 +7.743465359e+05 +7.743824359e+05 +7.743824359e+05 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1219 +7.515591894e+05 +7.515591894e+05 +7.515950894e+05 +7.515950894e+05 +2.8129e+00 +4.4259e+00 -4.2019e+00 -1.9305e+00 -6.9812e-01 +3.4056e+00 +5.3891e+00 -4.2928e-01 +3.3967e+00 +3.6071e+00 -1.4444e+00 -2.4897e+00 -5.9395e-01 +3.7603e+00 +2.9932e+00 -2.8154e+00 +7.1182e-01 +5.8174e+00 -3.3918e+00 -1.7308e+00
1384 +6.664715217e+05 +6.664715217e+05 +6.665074217e+05 +6.665074217e+05 +2.8215e+00 +4.0611e+00 -3.2604e+00 -5.0626e-01 -6.5844e-01 +2.4644e+00 +2.8890e+00 -9.1328e-01 +2.8335e+00 +3.6101e+00 -1.0648e+00 -1.1726e+00 +1.3374e+00 +3.5033e+00 +2.9996e+00 -2.7128e+00 -5.8759e-01 +4.1402e+00 -3.3564e+00 -1.6892e+00
1431 +6.511248362e+05 +6.511248362e+05 +6.511607362e+05 +6.511607362e+05 +2.7751e+00 +4.2674e+00 -3.4453e+00 -3.1786e+00 -7.6435e-01 +3.3226e+00 +4.2621e+00 -4.9774e-01 +1.9997e+00 +3.4123e+00 -1.6839e+00 -3.2306e+00 -3.0034e-01 +3.7590e+00 +3.0127e+00 -4.4152e+00 -1.6861e+00 +5.2712e+00 -3.3532e+00 +1.7187e+00
1435 +5.976978077e+05 +5.976978077e+05 +5.977337077e+05 +5.977337077e+05 +2.7922e+00 +4.0920e+00 -3.1003e+00 -1.1072e+00 -6.9035e-01 +2.7090e+00 +1.4971e+00 -1.2776e-01 +1.9531e+00 +2.0699e+00 -1.1777e+00 -1.7579e+00 +2.9664e-01 +3.3330e+00 +3.0094e+00 -3.3441e+00 -1.3395e+00 +4.7926e+00 -3.3722e+00 -1.9484e+00
1505 +5.829729738e+05 +5.829729738e+05 +5.830088738e+05 +5.830088738e+05 +2.8360e+00 +3.8150e+00 -3.4463e+00 -7.3750e-01 -7.4712e-01 +2.7420e+00 +2.1386e+00 -3.4454e-01 +2.0212e+00 +2.1081e+00 -8.2121e-01 -1.2438e+00 -1.3538e+00 +1.7382e+00 +2.9746e+00 -2.7448e+00 -6.7137e-01 +5.9109e+00 -3.3198e+00 -1.5885e+00
1575 +5.520896117e+05 +5.520896117e+05 +5.521255117e+05 +5.521255117e+05 +2.8092e+00 +3.3823e+00 -2.6037e+00 -6.1869e-01 -6.0692e-01 +1.6130e+00 +1.9334e+00 +1.0836e-01 +2.1584e+00 +3.5787e+00 -1.6965e+00 -1.5436e+00 +1.7978e+00 +3.8980e+00 +2.9166e+00 -3.5896e+00 +4.8196e-01 +1.0255e+01 -3.4038e+00 -3.6188e+00
1587 +5.409601860e+05 +5.409601860e+05 +5.409960860e+05 +5.409960860e+05 +2.7684e+00 +4.9274e+00 +5.6713e-01 -2.1992e+00 -7.0992e-01 +2.9961e+00 +1.4156e+00 +2.7895e-02 +2.3408e+00 +1.4419e+00 -1.2971e+00 -2.8989e+00 -2.0327e-01 +1.7937e+00 +3.0102e+00 -5.6319e+00 -9.3917e-01 +6.8056e+00 -3.3527e+00 +3.0351e+00
1627 +4.999107057e+05 +4.999107057e+05 +4.999466057e+05 +4.999466057e+05 +2.8030e+00 +3.9975e+00 -2.6767e+00 -3.7117e-01 -3.7927e-01 +1.3821e+00 +2.7837e+00 -1.8491e+00 +2.2530e+00 +2.7152e+00 -1.2236e+00 -4.7486e+00 +1.1821e-01 +3.9007e+00 +2.9798e+00 -3.2707e+00 -3.7644e-01 +1.1697e+01 -3.5605e+00 -2.0141e-01
1722 +3.994665844e+05 +3.994665844e+05 +3.995024844e+05 +3.995024844e+05 +2.8327e+00 +4.0518e+00 -1.3041e+00 -1.0210e+00 -6.8239e-01 +2.9322e+00 +2.0556e+00 -5.4221e-01 +1.6397e+00 +3.9379e-01 -5.8706e-01 -1.2737e+00 -1.4798e-01 +3.3583e+00 +3.0692e+00 -2.6727e+00 +6.7743e-01 +5.5614e+00 -3.3298e+00 -1.2177e+00
1776 +3.378159345e+05 +3.378159345e+05 +3.378518345e+05 +3.378518345e+05 +2.7776e+00 +4.1285e+00 -2.4169e+00 +3.5838e-01 -4.4830e-01 +2.8032e+00 +3.0075e+00 -2.4750e-01 +9.5864e-01 +1.1436e+00 -1.3058e+00 -1.1765e+00 +5.6133e-01 +2.4983e+00 +2.9594e+00 -5.7111e+00 +5.6077e+00 +9.6241e+00 -3.3799e+00 -2.6480e+00
1785 +3.289691401e+05 +3.289691401e+05 +3.290050401e+05 +3.290050401e+05 +2.5024e+00 +3.6712e+00 -2.6381e+00 +2.7065e-01 -8.7563e-01 -7.2635e-01 +5.8099e+00 -3.1707e-01 +1.7998e+00 +1.8677e+00 -1.4209e+00 -3.1137e+00 -6.8892e-01 +3.2909e+00 +2.9266e+00 -3.2856e+00 +1.7357e+00 +6.3952e+00 -3.6333e+00 -1.4802e+00
1802 +2.633354351e+05 +2.633354351e+05 +2.633713351e+05 +2.633713351e+05 +3.0101e+00 +5.7528e+00 +1.3155e+00 +7.4411e-02 -3.1587e-01 +1.4525e+00 +1.3499e+00 -2.3876e+00 +1.4975e+00 +1.0546e-02 -1.6190e+00 -2.1301e+00 -2.4949e+00 +2.7343e+00 +3.0144e+00 -3.1414e+00 -1.1403e+00 +7.7623e+00 -3.1811e+00 -4.2343e-01
1905 +2.453477561e+05 +2.453477561e+05 +2.453836561e+05 +2.453836561e+05 +3.0217e+00 +3.8017e+00 -1.6249e+00 -3.0014e-01 -4.9548e-01 +2.0936e+00 +3.1140e+00 -1.1367e+00 -3.9233e-01 -2.2578e+00 -9.8532e-01 -2.0852e+00 -7.1716e-01 +1.2440e+00 +3.0021e+00 -3.2213e+00 +6.0588e-01 +9.6746e+00 -3.2606e+00 -2.5581e+00
1906 +2.082475852e+05 +2.082475852e+05 +2.082834852e+05 +2.082834852e+05 +2.7435e+00 +3.8208e+00 -1.1059e+00 -4.6674e-01 -1.0160e+00 +2.1900e+00 +3.9627e+00 -9.7208e-01 +5.0549e+00 -1.9700e+00 -1.5315e+00 -2.6851e+00 -4.1851e-01 +2.2518e+00 +3.0846e+00 -3.8316e+00 +4.8655e+00 +7.9573e+00 -3.3668e+00 -1.2387e+00
2038 +1.474378519e+05 +1.474378519e+05 +1.474737519e+05 +1.474737519e+05 +2.7927e+00 +4.2522e+00 -3.8349e-01 +1.3081e+00 -8.4543e-01 +1.9580e+00 +5.0118e+00 -1.6015e+00 +4.6952e-02 -1.3978e+00 -1.2358e+00 -1.6853e+00 -1.0387e+00 -6.5424e-01 +3.0492e+00 -4.3344e+00 +1.7305e+00 +9.6625e+00 -3.6741e+00 +5.3621e-01
