% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.773964217e+03 +1.773964217e+03 +1.803934217e+03 +1.803934217e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1830 +1.636508973e+03 +1.636508973e+03 +1.666478973e+03 +1.666478973e+03 +3.0590e+00 -1.3460e+00 -3.1803e+00 -2.4477e+00 -1.5562e+00 +6.3378e-01 -1.7898e+00 -3.6848e+00 -3.9498e+00 -1.3160e+00 +1.8003e+00 -2.2010e+00 +8.7375e-01 +8.5676e-02 -1.8698e+00 -1.0475e+00 -2.1546e+00 +1.4339e+00 +2.2674e+00 -2.8117e+00
2117 +1.578866935e+03 +1.578866935e+03 +1.608836935e+03 +1.608836935e+03 +3.8093e+00 -3.5242e+00 -2.6524e+00 -1.6680e+00 -1.8866e+00 +3.5331e-01 -3.9477e+00 -3.0477e+00 -2.6182e+00 -1.2078e+00 +2.0576e+00 -2.0347e+00 +2.0116e+00 +6.8917e-01 -2.5280e+00 +3.7227e-01 -1.2046e+00 +1.2474e+00 +3.2888e+00 -2.6793e+00
2205 +1.467946810e+03 +1.467946810e+03 +1.497916810e+03 +1.497916810e+03 +3.1010e+00 -1.1685e+00 -2.7401e+00 -2.5147e+00 -2.0530e+00 +1.1085e+00 -2.8943e+00 -3.7165e+00 -2.5892e+00 -6.3188e-01 +2.3147e+00 -2.1161e+00 +1.9961e+00 +1.5202e-01 -1.8371e+00 +2.0277e-01 -2.6395e+00 +1.3965e+00 +1.7721e+00 -2.3745e+00
2416 +1.389848326e+03 +1.389848326e+03 +1.419818326e+03 +1.419818326e+03 +3.7836e+00 +1.0433e+00 -2.3019e+00 -2.6116e+00 -2.2200e+00 +2.2071e+00 -4.3131e+00 -3.7497e+00 -1.2506e+00 -1.3259e+00 +2.1313e+00 -1.9681e+00 +1.9194e+00 +7.6385e-01 -2.6422e+00 +6.3486e-01 -1.3928e+00 +1.3493e+00 +2.2607e+00 -2.7735e+00
2457 +1.373170755e+03 +1.373170755e+03 +1.403140755e+03 +1.403140755e+03 +2.4986e+00 -2.9912e-01 -4.7007e+00 -2.4332e+00 -1.2092e+00 +5.8702e-01 -3.8001e+00 -4.1720e+00 -3.6037e+00 -7.1829e-01 +1.3277e+00 -2.0925e+00 +2.9907e+00 +5.6770e-01 -2.1370e+00 +4.1934e-01 -2.9346e+00 +4.7701e-01 +2.5204e+00 -3.3957e+00
2510 +1.306128332e+03 +1.306128332e+03 +1.336098332e+03 +1.336098332e+03 +3.3656e+00 -8.7532e-01 -3.1797e+00 -2.2912e+00 -1.7260e+00 +2.2322e+00 -3.2319e+00 -3.1811e+00 -1.3157e+00 -8.9463e-01 +2.8038e+00 -2.1653e+00 +1.8689e+00 +5.4825e-01 -2.0693e+00 +2.7139e-01 -1.5920e+00 +7.6051e-01 +1.9142e+00 -2.7461e+00
2605 +1.269509375e+03 +1.269509375e+03 +1.299479375e+03 +1.299479375e+03 +3.3644e+00 -4.4202e-01 -2.7433e+00 -2.3719e+00 -1.9578e+00 +4.2194e-01 -3.4951e+00 -3.5513e+00 -2.3730e+00 -5.9947e-01 +2.0992e+00 -1.6379e+00 +1.9492e+00 +9.5996e-01 -1.3978e+00 +1.5829e+00 -2.3302e+00 +5.9300e-01 +2.1748e+00 -3.1651e+00
2613 +1.200695922e+03 +1.200695922e+03 +1.230665922e+03 +1.230665922e+03 +3.0284e+00 +6.7806e-01 -2.6202e+00 -2.2892e+00 -8.6213e-01 +5.1597e-01 -3.9674e+00 -4.6476e+00 -6.8233e-01 -5.3748e-01 +2.0375e+00 -1.7915e+00 +2.6218e+00 +1.0498e+00 -1.7320e+00 +7.7228e-01 -1.8813e+00 +5.5140e-01 +3.6576e+00 -4.0022e+00
2732 +1.122732713e+03 +1.122732713e+03 +1.152702713e+03 +1.152702713e+03 +2.9559e+00 -5.3051e-01 -2.8531e+00 -2.3423e+00 -1.4785e+00 +1.0096e+00 -4.0139e+00 -3.7868e+00 -7.7844e-01 -5.9771e-01 +1.4310e+00 -1.5498e+00 +2.6655e+00 +2.1696e+00 -1.6847e+00 +4.2831e-01 -1.9762e+00 +8.9906e-01 +2.1403e+00 -2.8504e+00
