% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.021155843e+01 +8.021155843e+01 +1.209915584e+02 +1.209915584e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1261 +7.910556411e+01 +7.910556411e+01 +1.198855641e+02 +1.198855641e+02 +3.9229e+00 -1.7116e+00 +2.4324e+00 -3.3078e+00 -3.2094e+00 +2.3399e+00 +2.9108e+00 +3.5833e+00 -4.7648e+00 +3.3071e+00 +5.2106e-01 +2.3345e-01 +3.7831e+00 -1.6224e+00 +1.6448e+00 +1.3600e+00 +5.4487e-03 +1.9949e-01 -9.5225e-01 -2.6924e+00
1418 +7.762050510e+01 +7.762050510e+01 +1.184005051e+02 +1.184005051e+02 +3.6880e+00 -1.7181e+00 +2.5449e+00 -1.0611e+00 -3.5733e+00 +2.4796e+00 +2.8807e+00 +3.5098e+00 -4.7647e+00 +3.7530e+00 +7.9105e-01 -1.2014e+00 +3.7232e+00 -1.5729e+00 +8.5802e-01 +1.3586e+00 -7.6173e-01 +2.9897e-01 -1.3069e+00 -2.6758e+00
1481 +7.575725848e+01 +7.575725848e+01 +1.165372585e+02 +1.165372585e+02 +3.5902e+00 -1.7142e+00 +2.4301e+00 -1.4816e+00 -3.5444e+00 +3.1559e+00 +2.8746e+00 +3.4206e+00 -5.3922e+00 +3.3892e+00 +1.3475e+00 -2.7815e-01 +3.6612e+00 -1.5607e+00 +1.2900e+00 +1.3580e+00 +1.2534e+00 +9.5425e-02 -1.4680e+00 -2.8714e+00
1529 +7.364830859e+01 +7.364830859e+01 +1.144283086e+02 +1.144283086e+02 +3.1750e+00 -1.7160e+00 +2.4114e+00 -1.2444e+00 -3.2758e+00 +3.4633e+00 +2.8870e+00 +3.5877e+00 -5.1129e+00 +3.7141e+00 -5.7864e-01 -8.0689e-01 +3.4199e+00 -1.5860e+00 +1.4003e+00 +1.3528e+00 -4.0184e-01 -3.8002e-02 -1.7334e+00 -2.7569e+00
1660 +7.243253856e+01 +7.243253856e+01 +1.132125386e+02 +1.132125386e+02 +2.7304e+00 -1.7138e+00 +2.7829e+00 -1.4816e+00 -4.3448e+00 +2.8970e+00 +3.0693e+00 +3.5696e+00 -4.7115e+00 +3.5762e+00 +8.4923e-01 -2.3027e+00 +3.7575e+00 -1.6107e+00 +1.7164e+00 +1.3729e+00 +3.4596e-01 +3.7923e-01 -1.5369e+00 -2.7674e+00
1666 +6.909662061e+01 +6.909662061e+01 +1.098766206e+02 +1.098766206e+02 +3.6803e+00 -1.7110e+00 +1.9401e+00 -1.1661e+00 -3.8872e+00 +5.3634e+00 +2.9447e+00 +3.6536e+00 -4.8169e+00 +3.3383e+00 -9.1956e-01 -1.2856e+00 +3.9496e+00 -1.6437e+00 +1.3594e+00 +1.3621e+00 +6.0918e-01 +4.7579e-02 -7.5019e-01 -2.3878e+00
1915 +6.687589754e+01 +6.687589754e+01 +1.076558975e+02 +1.076558975e+02 +2.7978e+00 -1.7133e+00 +2.6285e+00 -3.7996e+00 -3.8701e+00 +4.1260e+00 +2.9201e+00 +3.5109e+00 -4.0661e+00 +3.5992e+00 -8.8099e-01 -2.5058e+00 +3.0876e+00 -1.6083e+00 +8.1588e-01 +1.3483e+00 +9.2533e-01 +6.2321e-02 -8.5493e-01 -2.7613e+00
1932 +6.518309943e+01 +6.518309943e+01 +1.059630994e+02 +1.059630994e+02 +3.0741e+00 -1.7039e+00 +2.4209e+00 -2.2291e+00 -3.4827e+00 +5.8787e+00 +2.5179e+00 +3.3521e+00 -3.7910e+00 +3.5196e+00 -4.4197e-01 -2.4177e+00 +4.3036e+00 -1.3940e+00 -1.2924e-01 +1.3797e+00 +6.1205e-02 +1.8342e-01 -2.4262e+00 -2.6627e+00
2108 +6.453427085e+01 +6.453427085e+01 +1.053142708e+02 +1.053142708e+02 +2.9428e+00 -1.7064e+00 +2.3853e+00 -1.7215e+00 -4.6297e+00 +4.5269e+00 +2.8052e+00 +3.5253e+00 -4.6706e+00 +3.2744e+00 -2.7681e-01 -2.9489e+00 +3.5135e+00 -1.3759e+00 +9.8339e-01 +1.2627e+00 +5.1892e-01 +1.0604e-01 -1.5636e+00 -2.8384e+00
