% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1236 +2.287179528e+00 +2.287179528e+00 +1.002287180e+03 +1.002287180e+03 +1.5171e+00 +2.1775e+00
1292 +1.248096612e+00 +1.248096612e+00 +1.001248097e+03 +1.001248097e+03 +1.5155e+00 +1.8501e+00
1318 +4.280107938e-01 +4.280107938e-01 +1.000428011e+03 +1.000428011e+03 -1.9768e+00 +2.1256e+00
1753 +9.899454424e-02 +9.899454424e-02 +1.000098995e+03 +1.000098995e+03 -2.1025e+00 +2.0855e+00
2011 +1.408352796e-02 +1.408352796e-02 +1.000014084e+03 +1.000014084e+03 -2.1278e+00 +2.1008e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.521515401e+03 +5.521515401e+03 +5.729895401e+03 +5.729895401e+03 +0.0000e+00 +0.0000e+00
100 +5.624209091e+02 +5.624209091e+02 +7.708009091e+02 +7.708009091e+02 -3.6841e+00 +1.5797e+00
106 +5.606871560e+02 +5.606871560e+02 +7.690671560e+02 +7.690671560e+02 -3.6842e+00 +5.2443e-01
304 +5.493151458e+02 +5.493151458e+02 +7.576951458e+02 +7.576951458e+02 -3.6726e+00 +5.6623e-01
331 +5.284581703e+02 +5.284581703e+02 +7.368381703e+02 +7.368381703e+02 -3.6501e+00 +5.5176e-01
336 +5.247116813e+02 +5.247116813e+02 +7.330916813e+02 +7.330916813e+02 -3.6459e+00 +5.4433e-01
337 +5.038773879e+02 +5.038773879e+02 +7.122573879e+02 +7.122573879e+02 -3.6226e+00 +5.2835e-01
345 +4.584004125e+02 +4.584004125e+02 +6.667804125e+02 +6.667804125e+02 -3.5692e+00 +7.9762e-01
347 +4.114711876e+02 +4.114711876e+02 +6.198511876e+02 +6.198511876e+02 -3.5121e+00 +7.6465e-01
352 +3.751031034e+02 +3.751031034e+02 +5.834831034e+02 +5.834831034e+02 -3.4677e+00 +8.7177e-01
357 +1.137983795e+02 +1.137983795e+02 +3.221783795e+02 +3.221783795e+02 -3.0198e+00 +8.1768e-01
364 +6.092706703e+01 +6.092706703e+01 +2.693070670e+02 +2.693070670e+02 -2.8657e+00 +1.4345e+00
372 +3.507996718e+01 +3.507996718e+01 +2.434599672e+02 +2.434599672e+02 -2.7649e+00 +1.2989e+00
442 +2.262525698e+01 +2.262525698e+01 +2.310052570e+02 +2.310052570e+02 -2.6974e+00 +1.0268e+00
450 +1.234449461e+01 +1.234449461e+01 +2.207244946e+02 +2.207244946e+02 -2.6215e+00 +1.0513e+00
454 +4.644245668e+00 +4.644245668e+00 +2.130242457e+02 +2.130242457e+02 -2.4505e+00 +1.5976e+00
470 +3.161526275e+00 +3.161526275e+00 +2.115415263e+02 +2.115415263e+02 -2.5062e+00 +2.0224e+00
471 +2.836211690e+00 +2.836211690e+00 +2.112162117e+02 +2.112162117e+02 -2.2949e+00 +1.3509e+00
478 +2.735014090e+00 +2.735014090e+00 +2.111150141e+02 +2.111150141e+02 -1.9641e+00 +1.7155e+00
496 +2.381032959e+00 +2.381032959e+00 +2.107610330e+02 +2.107610330e+02 -1.9184e+00 +1.7614e+00
503 +2.250890915e+00 +2.250890915e+00 +2.106308909e+02 +2.106308909e+02 -2.1340e+00 +1.3570e+00
505 +1.601239366e+00 +1.601239366e+00 +2.099812394e+02 +2.099812394e+02 -2.1013e+00 +1.2210e+00
518 +1.266906020e+00 +1.266906020e+00 +2.096469060e+02 +2.096469060e+02 -2.0831e+00 +2.1840e+00
526 +7.988165569e-01 +7.988165569e-01 +2.091788166e+02 +2.091788166e+02 -2.2496e+00 +2.1026e+00
530 +7.212377510e-01 +7.212377510e-01 +2.091012378e+02 +2.091012378e+02 -2.1026e+00 +9.3884e-01
543 +6.654135655e-01 +6.654135655e-01 +2.090454136e+02 +2.090454136e+02 -2.1283e+00 +2.0463e+00
559 +4.676409057e-02 +4.676409057e-02 +2.084267641e+02 +2.084267641e+02 -2.1090e+00 +2.0902e+00
777 +3.817837869e-02 +3.817837869e-02 +2.084181784e+02 +2.084181784e+02 -2.0753e+00 +2.1042e+00
797 +3.025518589e-02 +3.025518589e-02 +2.084102552e+02 +2.084102552e+02 -2.0755e+00 +2.1180e+00
798 +2.038544777e-02 +2.038544777e-02 +2.084003854e+02 +2.084003854e+02 -2.0766e+00 +2.1108e+00
816 +1.928249128e-02 +1.928249128e-02 +2.083992825e+02 +2.083992825e+02 -2.0772e+00 +2.1120e+00
829 +1.894570737e-02 +1.894570737e-02 +2.083989457e+02 +2.083989457e+02 -2.0775e+00 +2.1125e+00
840 +1.359109191e-02 +1.359109191e-02 +2.083935911e+02 +2.083935911e+02 -2.0831e+00 +2.1129e+00
850 +1.257265017e-02 +1.257265017e-02 +2.083925727e+02 +2.083925727e+02 -2.0835e+00 +2.1081e+00
854 +1.155090446e-02 +1.155090446e-02 +2.083915509e+02 +2.083915509e+02 -2.0834e+00 +2.1104e+00
857 +7.602242765e-03 +7.602242765e-03 +2.083876022e+02 +2.083876022e+02 -2.0957e+00 +2.1118e+00
858 +4.837128340e-03 +4.837128340e-03 +2.083848371e+02 +2.083848371e+02 -2.0912e+00 +2.1091e+00
862 +4.369122078e-03 +4.369122078e-03 +2.083843691e+02 +2.083843691e+02 -2.0930e+00 +2.1096e+00
867 +3.675366188e-03 +3.675366188e-03 +2.083836754e+02 +2.083836754e+02 -2.0933e+00 +2.1088e+00
878 +1.451172427e-03 +1.451172427e-03 +2.083814512e+02 +2.083814512e+02 -2.0986e+00 +2.1078e+00
926 +1.543863548e-04 +1.543863548e-04 +2.083801544e+02 +2.083801544e+02 -2.1026e+00 +2.1051e+00
941 +6.156710413e-06 +6.156710413e-06 +2.083800062e+02 +2.083800062e+02 -2.1050e+00 +2.1047e+00
1027 +4.159002401e-06 +4.159002401e-06 +2.083800042e+02 +2.083800042e+02 -2.1052e+00 +2.1047e+00
1034 +2.071691341e-06 +2.071691341e-06 +2.083800021e+02 +2.083800021e+02 -2.1051e+00 +2.1048e+00
1052 +5.811183712e-07 +5.811183712e-07 +2.083800006e+02 +2.083800006e+02 -2.1050e+00 +2.1048e+00
1077 +5.326288317e-07 +5.326288317e-07 +2.083800005e+02 +2.083800005e+02 -2.1050e+00 +2.1048e+00
1083 +4.478028757e-07 +4.478028757e-07 +2.083800004e+02 +2.083800004e+02 -2.1050e+00 +2.1048e+00
1099 +3.286943127e-07 +3.286943127e-07 +2.083800003e+02 +2.083800003e+02 -2.1050e+00 +2.1048e+00
1113 +3.211165165e-07 +3.211165165e-07 +2.083800003e+02 +2.083800003e+02 -2.1050e+00 +2.1048e+00
1116 +1.888026873e-07 +1.888026873e-07 +2.083800002e+02 +2.083800002e+02 -2.1049e+00 +2.1048e+00
1126 +1.855048595e-07 +1.855048595e-07 +2.083800002e+02 +2.083800002e+02 -2.1049e+00 +2.1048e+00
1142 +1.184167786e-07 +1.184167786e-07 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1163 +7.539782132e-08 +7.539782132e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1174 +6.952856779e-08 +6.952856779e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1183 +6.843828260e-08 +6.843828260e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1194 +6.537047170e-08 +6.537047170e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1211 +6.140709274e-08 +6.140709274e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1217 +5.813373605e-08 +5.813373605e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1223 +5.729106078e-08 +5.729106078e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1229 +5.443274631e-08 +5.443274631e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1230 +5.161618333e-08 +5.161618333e-08 +2.083800001e+02 +2.083800001e+02 -2.1049e+00 +2.1048e+00
1232 +4.954770816e-08 +4.954770816e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1234 +4.800094189e-08 +4.800094189e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1236 +3.247353675e-08 +3.247353675e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1247 +2.989946779e-08 +2.989946779e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1257 +2.804225119e-08 +2.804225119e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1262 +2.515537290e-08 +2.515537290e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1277 +2.509707997e-08 +2.509707997e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1361 +2.451062642e-08 +2.451062642e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1375 +2.074466465e-08 +2.074466465e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1382 +1.908219360e-08 +1.908219360e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1386 +1.644460212e-08 +1.644460212e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1399 +1.432181307e-08 +1.432181307e-08 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1406 +5.033399475e-09 +5.033399475e-09 +2.083800000e+02 +2.083800000e+02 -2.1049e+00 +2.1048e+00
1624 +0.000000000e+00 +0.000000000e+00 +2.083800000e+02 +2.083800000e+02 -2.1048e+00 +2.1048e+00
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.521515401e+03 +5.521515401e+03 +5.376555401e+03 +5.376555401e+03 +0.0000e+00 +0.0000e+00
66 +2.023614301e+03 +2.023614301e+03 +1.878654301e+03 +1.878654301e+03 -4.7460e+00 -1.1010e+00
78 +4.103554995e+02 +4.103554995e+02 +2.653954995e+02 +2.653954995e+02 -3.4393e+00 -1.9373e-01
100 +4.363603921e+01 +4.363603921e+01 -1.013239608e+02 -1.013239608e+02 -2.7050e+00 -4.2320e-01
134 +5.750214772e+00 +5.750214772e+00 -1.392097852e+02 -1.392097852e+02 -2.5509e+00 -5.2891e-01
144 +2.819429184e+00 +2.819429184e+00 -1.421405708e+02 -1.421405708e+02 -2.3115e+00 -1.1532e+00
155 +1.921814476e+00 +1.921814476e+00 -1.430381855e+02 -1.430381855e+02 -2.0556e+00 -1.0521e+00
162 +1.698614502e+00 +1.698614502e+00 -1.432613855e+02 -1.432613855e+02 -2.1009e+00 -1.0343e+00
164 +6.330401855e-01 +6.330401855e-01 -1.443269598e+02 -1.443269598e+02 -2.1224e+00 -9.6799e-01
188 +6.150136006e-01 +6.150136006e-01 -1.443449864e+02 -1.443449864e+02 -2.0939e+00 -9.5478e-01
222 +5.955075668e-01 +5.955075668e-01 -1.443644924e+02 -1.443644924e+02 -2.1149e+00 -9.6011e-01
1230 +4.604531707e-01 +4.604531707e-01 -1.444995468e+02 -1.444995468e+02 -2.0597e+00 -2.1569e+00
